variable,group,n,background_rmse,background_mae,background_bias,background_r2,corrected_rmse,corrected_mae,corrected_bias,corrected_r2,delta_rmse_bg_minus_corrected,delta_mae_bg_minus_corrected,bias_shift_corrected_minus_bg
Temperature,month_1,55056,5.681186819839933,4.522392926416146,-3.6012692069702967,-0.15961298298252768,3.3129208589835497,2.519654301923975,0.2684686412026993,0.6056725139322132,2.3682659608563834,2.002738624492171,3.869737848172996
Temperature,month_2,49455,4.940804585259048,4.012434422940372,-2.893653688634814,0.05178583552519456,3.208069002844967,2.359746837013286,0.4630519726144852,0.6002407829377022,1.7327355824140813,1.6526875859270862,3.356705661249299
Temperature,month_3,53422,5.2790010350191805,4.312786923923264,-3.0760505367235784,0.15420083687074837,3.385722608040129,2.4162175394054706,0.5939079172030753,0.6520903268766731,1.8932784269790517,1.8965693845177936,3.669958453926654
Temperature,month_4,52374,5.368098380825007,4.421959279631716,-3.108046171447179,0.22131115937035928,3.400128611675032,2.3755759680086275,0.6788361222242932,0.6875980706343658,1.967969769149975,2.0463833116230887,3.7868822936714723
Dew_point_constrained,month_1,55056,5.316311144086664,4.22051956533151,-2.9222994966603593,0.36306844497580715,3.283769075718573,2.25299913107854,0.357012272424518,0.7569938855524851,2.032542068368091,1.96752043425297,3.2793117690848774
Dew_point_constrained,month_2,49455,5.109471255104301,3.9253895841351247,-2.172872853714283,0.40381963542594335,3.4435191660866913,2.2397903032732818,0.5291257531423008,0.72921116308491,1.66595208901761,1.685599280861843,2.701998606856584
Dew_point_constrained,month_3,53422,4.094386485051299,3.2534237786133384,-1.6537846060205295,0.45612747466006154,2.8743020246613167,1.9906624962066448,0.3435547265613822,0.7319694782093795,1.220084460389982,1.2627612824066936,1.9973393325819115
Dew_point_constrained,month_4,52374,3.816312673258843,3.034366792842817,-1.347513935939195,0.5539418959724524,2.8159458482038167,1.9504461676393037,0.4005727203328584,0.7571421573632587,1.0003668250550262,1.0839206252035134,1.7480866562720534
U10,month_1,55056,2.135076857173772,1.3171027318724746,-0.28354230745611964,0.040525589442970356,2.1589299713016783,1.3231136825817504,-0.22188197223773412,0.018967305529231315,-0.02385311412790614,-0.00601095070927582,0.061660335218385515
U10,month_2,49455,1.6593393569590302,1.074720841649548,-0.2456625378546392,0.045424887486585463,1.6572612251966143,1.0661654846124775,-0.19073125345839587,0.047814381418549434,0.0020781317624158913,0.008555357037070443,0.05493128439624334
U10,month_3,53378,1.7679411007842871,1.2412592102771203,-0.04581440137393672,0.11158440224767197,1.789450073377172,1.2447666629948064,-0.009796205883529974,0.08983577351624428,-0.02150897259288498,-0.0035074527176861547,0.036018195490406746
U10,month_4,52374,1.750966248819851,1.2544243538592028,-0.12960686415908712,0.1718191369602623,1.7419451047104297,1.2377538582350822,-0.08994686933226755,0.1803308863000176,0.00902114410942123,0.016670495624120596,0.039659994826819575
V10,month_1,55056,2.1730448771411726,1.346908118452901,-0.11808262341360246,0.20539314003126008,2.137057442453815,1.3574421427898566,0.03065415699075897,0.2314939142150294,0.035987434687357656,-0.010534024336955605,0.14873678040436142
V10,month_2,49455,1.6355879351851939,1.107191314845781,0.005146994285031747,0.22123127919549823,1.604696655456868,1.094420261617138,0.050476468933450674,0.2503706224055867,0.030891279728325838,0.012771053228643137,0.045329474648418924
V10,month_3,53378,1.9984921986549067,1.34676734837143,-0.03953331677547535,0.29315296849796857,1.888437418374467,1.3049155498248255,0.012959605644866893,0.36885998151588384,0.11005478028043969,0.04185179854660448,0.052492922420342245
V10,month_4,52374,1.8646359055264283,1.3338346100985352,-0.0165170992597492,0.27337723794571245,1.7841185278302452,1.2883068279498435,-0.016238254883517027,0.33477537172577276,0.08051737769618317,0.04552778214869169,0.0002788443762321742
Wind_speed,month_1,55056,2.6355047900807,1.473875413586958,-1.216422759566601,-0.21670803488023305,2.346455877783249,1.4203792952117258,-1.0878403002850803,0.03554150934828815,0.2890489122974511,0.05349611837523227,0.1285824592815208
Wind_speed,month_2,49455,1.9236569002372486,1.1574554543127828,-0.958336648056547,-0.25917479209614247,1.787041540027669,1.1523720495993488,-0.938112178550112,-0.08667602924795115,0.13661536020957965,0.005083404713434048,0.020224469506434972
Wind_speed,month_3,53378,2.253828245656222,1.4585128348803031,-1.3045696059296223,-0.3681491317304362,2.008710727925276,1.3569538952234939,-1.0799872446016694,-0.08674237724777223,0.24511751773094614,0.10155893965680929,0.22458236132795295
Wind_speed,month_4,52374,2.07725647326603,1.4247036671665216,-1.2791032323862355,-0.43306797530646546,1.85851423769491,1.3077372880168263,-1.0762855883537077,-0.14714504588004385,0.21874223557112016,0.11696637914969532,0.20281764403252778
