scenario,anonymous_station_rank,n,direct_minus_component_rmse
all_stations,1,308,-4.190920919996629
all_stations,2,2291,-3.310731414219107
all_stations,3,384,-3.1826912938856515
all_stations,4,2085,-3.10107621923931
all_stations,5,1715,-3.0603292681368193
all_stations,6,1765,-2.9044624532880325
all_stations,7,2137,-2.894834607156323
all_stations,8,1182,-2.846675188089047
all_stations,9,800,-2.839122594484908
all_stations,10,344,-2.359728793918601
all_stations,11,540,-2.2248071613931786
all_stations,12,1196,-1.9693348665828978
all_stations,13,1495,-1.9326307177608717
all_stations,14,762,-1.8942012161054378
all_stations,15,1708,-1.792384124136491
all_stations,16,1165,-1.5853997623821572
all_stations,17,2360,-1.4897043344953538
all_stations,18,623,-1.374157027691136
all_stations,19,645,-1.370657061303993
all_stations,20,33,-1.369838604856926
all_stations,21,202,-1.3196347811100058
all_stations,22,295,-1.305665921958409
all_stations,23,125,-1.2141578375052045
all_stations,24,802,-1.0598270207251723
all_stations,25,744,-1.0320948455900778
all_stations,26,731,-0.9525853593355809
all_stations,27,277,-0.906205150000603
all_stations,28,1150,-0.5686858609794636
all_stations,29,1266,-0.5595050353709294
all_stations,30,673,-0.5119228284962478
all_stations,31,1852,-0.40009836515050257
all_stations,32,1861,-0.3653694545462636
all_stations,33,77,-0.24833093202708856
all_stations,34,630,-0.22960607968401003
all_stations,35,230,-0.1897444889143296
all_stations,36,151,-0.18293831772429447
all_stations,37,302,0.0028228116252329016
all_stations,38,477,0.09086766953457204
all_stations,39,127,0.1492390328435813
all_stations,40,131,0.217179509824593
all_stations,41,15,0.26031012618331495
all_stations,42,2296,0.2616376778501812
all_stations,43,1142,0.27316076554787116
all_stations,44,358,0.28654966335307597
all_stations,45,1062,0.29127353751396656
all_stations,46,1980,0.35640328563793755
all_stations,47,1099,0.3660208113409058
all_stations,48,284,0.44427178172367165
all_stations,49,460,0.48533142429552445
all_stations,50,720,0.5480714593164842
all_stations,51,2621,0.5636297552706839
all_stations,52,277,0.602285341260798
all_stations,53,1315,0.6183231957280624
all_stations,54,409,0.6338592773385825
all_stations,55,507,0.7245244614974524
all_stations,56,868,0.7371350571061335
all_stations,57,406,0.7701054388377369
all_stations,58,2566,0.7779025683204948
all_stations,59,725,0.9024398834079381
all_stations,60,792,0.9316703042398706
all_stations,61,1747,0.9967881096973525
all_stations,62,1030,1.0866870730428517
all_stations,63,304,1.1400435006032614
all_stations,64,162,1.5593849301339011
all_stations,65,518,1.8647921663502305
all_stations,66,2664,1.9107867349966625
all_stations,67,139,2.4309142372617534
all_stations,68,1171,2.820470263883356
all_stations,69,676,2.8463739085342037
all_stations,70,563,3.004207122030065
all_stations,71,1548,3.264817046533633
all_stations,72,946,3.4217346550201073
all_stations,73,767,4.057630220029983
all_stations,74,127,6.085720643544513
excluding_mismatch,1,2291,-3.7173780002406605
excluding_mismatch,2,384,-3.4884679690626963
excluding_mismatch,3,800,-3.217338765479518
excluding_mismatch,4,1715,-3.1803232357814295
excluding_mismatch,5,1182,-2.9973389851464574
excluding_mismatch,6,1852,-2.9829298546944862
excluding_mismatch,7,540,-2.3095779517417436
excluding_mismatch,8,1708,-1.9549241634638062
excluding_mismatch,9,344,-1.7091796139242748
excluding_mismatch,10,1495,-1.5558070313364505
excluding_mismatch,11,202,-1.49612032622901
excluding_mismatch,12,744,-1.3204753346494242
excluding_mismatch,13,762,-1.3192451496653064
excluding_mismatch,14,33,-1.209624788577608
excluding_mismatch,15,673,-1.0776752983797793
excluding_mismatch,16,1315,-0.8531512049713137
excluding_mismatch,17,802,-0.8431281202688381
excluding_mismatch,18,295,-0.8398554290401483
excluding_mismatch,19,1861,-0.8305546891827751
excluding_mismatch,20,151,-0.771891273591224
excluding_mismatch,21,1150,-0.6739361223402338
excluding_mismatch,22,277,-0.6160117400445655
excluding_mismatch,23,1980,-0.5985614016088059
excluding_mismatch,24,125,-0.5533370006870264
excluding_mismatch,25,77,-0.4679886346788975
excluding_mismatch,26,731,-0.3965246073395403
excluding_mismatch,27,630,-0.3026427094805011
excluding_mismatch,28,230,-0.25203191122682966
excluding_mismatch,29,2566,-0.13608441243265634
excluding_mismatch,30,477,-0.10874024535330262
excluding_mismatch,31,302,-0.08229943239983917
excluding_mismatch,32,507,0.07153320363909677
excluding_mismatch,33,1099,0.08675480061335694
excluding_mismatch,34,409,0.10896966005783248
excluding_mismatch,35,131,0.1898897246929474
excluding_mismatch,36,1747,0.2768510365159269
excluding_mismatch,37,1548,0.2973478910395051
excluding_mismatch,38,1062,0.3712924131228239
excluding_mismatch,39,304,0.45611414603765654
excluding_mismatch,40,406,0.46179558890489236
excluding_mismatch,41,277,0.4708449972977453
excluding_mismatch,42,358,0.6823408512368192
excluding_mismatch,43,127,0.718224762147432
excluding_mismatch,44,2296,0.7555493497580561
excluding_mismatch,45,284,0.7695459353042611
excluding_mismatch,46,767,0.8747868911556456
excluding_mismatch,47,868,1.1374182489512092
excluding_mismatch,48,623,1.2118881610958567
excluding_mismatch,49,1171,1.2614128307666888
excluding_mismatch,50,15,1.4633753904946554
excluding_mismatch,51,1142,1.5192833310771174
excluding_mismatch,52,162,1.6169223124019982
excluding_mismatch,53,139,1.9540892725227006
excluding_mismatch,54,720,2.096185207564586
excluding_mismatch,55,563,2.3536724609977306
excluding_mismatch,56,518,3.0286336082617606
excluding_mismatch,57,127,3.449992265898916
