variable,metric,ci_high,ci_low,estimate
Dew point,bias_shift,2.819435458380374,2.055336327214565,2.436577395053958
Dew point,delta_mae,1.8610161902097644,1.1418342158827126,1.5021545146685238
Dew point,delta_rmse,2.0066029975188613,1.0697329513978302,1.5165310927198221
Temperature,bias_shift,4.152076058507824,3.243271478283912,3.6777133391685295
Temperature,delta_mae,2.4639479821476598,1.3670205242701836,1.904322022066419
Temperature,delta_rmse,2.6987784946865507,1.3396347924480148,2.004099359087946
U10,bias_shift,0.0841250012977326,0.01019423469521819,0.048088013076701186
U10,delta_mae,0.028695955092146452,-0.028431209850504572,0.0037003467403748935
U10,delta_rmse,0.035061337374037244,-0.07143254130832748,-0.009947287097909596
V10,bias_shift,0.168559910658038,-0.020843235531737333,0.06300296656565298
V10,delta_mae,0.0937070515963309,-0.055184697102532494,0.02221060556828003
V10,delta_rmse,0.1944408652571306,-0.08554857676556213,0.06461528697412677
Wind speed,bias_shift,0.3221529829883001,-0.0036295053937790223,0.14595799350892547
Wind speed,delta_mae,0.16975389503339353,-0.01747750838421024,0.07012024129759875
Wind speed,delta_rmse,0.38709730130834796,0.06464713115497014,0.22871370816673098
