variable,group,n,background_rmse,background_mae,background_bias,background_r2,corrected_rmse,corrected_mae,corrected_bias,corrected_r2,delta_rmse_bg_minus_corrected,delta_mae_bg_minus_corrected,bias_shift_corrected_minus_bg
Temperature,month_1,55056,5.681186819839933,4.522392926416146,-3.6012692069702967,-0.1596129829825276,3.3129208589835497,2.519654301923975,0.2684686412026993,0.6056725139322132,2.3682659608563834,2.002738624492171,3.869737848172996
Temperature,month_2,49455,4.940804585259048,4.012434422940372,-2.893653688634814,0.0517858355251945,3.208069002844967,2.359746837013286,0.4630519726144852,0.6002407829377022,1.732735582414081,1.6526875859270862,3.356705661249299
Temperature,month_3,53422,5.2790010350191805,4.312786923923264,-3.0760505367235784,0.1542008368707483,3.385722608040129,2.4162175394054706,0.5939079172030753,0.6520903268766731,1.8932784269790517,1.8965693845177936,3.669958453926654
Temperature,month_4,52374,5.368098380825007,4.421959279631716,-3.108046171447179,0.2213111593703592,3.400128611675032,2.3755759680086275,0.6788361222242932,0.6875980706343658,1.967969769149975,2.0463833116230887,3.786882293671472
Dew point,month_1,55056,5.316311144086664,4.22051956533151,-2.9222994966603593,0.3630684449758071,3.283769075718573,2.25299913107854,0.357012272424518,0.7569938855524851,2.032542068368091,1.96752043425297,3.2793117690848774
Dew point,month_2,49455,5.109471255104301,3.9253895841351247,-2.172872853714283,0.4038196354259433,3.4435191660866913,2.2397903032732818,0.5291257531423008,0.72921116308491,1.66595208901761,1.685599280861843,2.701998606856584
Dew point,month_3,53422,4.094386485051299,3.2534237786133384,-1.6537846060205297,0.4561274746600615,2.8743020246613167,1.9906624962066448,0.3435547265613822,0.7319694782093795,1.220084460389982,1.2627612824066936,1.9973393325819115
Dew point,month_4,52374,3.816312673258843,3.034366792842817,-1.347513935939195,0.5539418959724524,2.8159458482038167,1.9504461676393037,0.4005727203328584,0.7571421573632587,1.0003668250550262,1.0839206252035134,1.7480866562720534
U10,month_1,55056,2.135076857173772,1.3171027318724746,-0.2835423074561196,0.0405255894429703,2.1589299713016783,1.3231136825817504,-0.2218819722377341,0.0189673055292313,-0.0238531141279061,-0.0060109507092758,0.0616603352183855
U10,month_2,49455,1.6593393569590302,1.074720841649548,-0.2456625378546392,0.0454248874865854,1.6572612251966143,1.0661654846124775,-0.1907312534583958,0.0478143814185494,0.0020781317624158,0.0085553570370704,0.0549312843962433
U10,month_3,53378,1.7679411007842871,1.2412592102771205,-0.0458144013739367,0.1115844022476719,1.789450073377172,1.2447666629948064,-0.0097962058835299,0.0898357735162442,-0.0215089725928849,-0.0035074527176861,0.0360181954904067
U10,month_4,52374,1.750966248819851,1.2544243538592028,-0.1296068641590871,0.1718191369602623,1.7419451047104295,1.2377538582350822,-0.0899468693322675,0.1803308863000176,0.0090211441094212,0.0166704956241205,0.0396599948268195
V10,month_1,55056,2.173044877141173,1.346908118452901,-0.1180826234136024,0.20539314003126,2.137057442453815,1.3574421427898566,0.0306541569907589,0.2314939142150294,0.0359874346873576,-0.0105340243369556,0.1487367804043614
V10,month_2,49455,1.635587935185194,1.107191314845781,0.0051469942850317,0.2212312791954982,1.604696655456868,1.094420261617138,0.0504764689334506,0.2503706224055867,0.0308912797283258,0.0127710532286431,0.0453294746484189
V10,month_3,53378,1.998492198654907,1.34676734837143,-0.0395333167754753,0.2931529684979685,1.888437418374467,1.3049155498248255,0.0129596056448668,0.3688599815158838,0.1100547802804396,0.0418517985466044,0.0524929224203422
V10,month_4,52374,1.8646359055264283,1.3338346100985352,-0.0165170992597492,0.2733772379457124,1.7841185278302452,1.2883068279498435,-0.016238254883517,0.3347753717257727,0.0805173776961831,0.0455277821486916,0.0002788443762321
Wind speed,month_1,55056,2.6355047900807,1.473875413586958,-1.216422759566601,-0.216708034880233,2.346455877783249,1.4203792952117258,-1.0878403002850805,0.0355415093482881,0.2890489122974511,0.0534961183752322,0.1285824592815208
Wind speed,month_2,49455,1.9236569002372488,1.1574554543127828,-0.958336648056547,-0.2591747920961424,1.787041540027669,1.1523720495993488,-0.938112178550112,-0.0866760292479511,0.1366153602095796,0.005083404713434,0.0202244695064349
Wind speed,month_3,53378,2.253828245656222,1.4585128348803031,-1.3045696059296223,-0.3681491317304362,2.008710727925276,1.356953895223494,-1.0799872446016694,-0.0867423772477722,0.2451175177309461,0.1015589396568092,0.2245823613279529
Wind speed,month_4,52374,2.07725647326603,1.4247036671665216,-1.2791032323862357,-0.4330679753064654,1.85851423769491,1.3077372880168263,-1.0762855883537077,-0.1471450458800438,0.2187422355711201,0.1169663791496953,0.2028176440325277
