variable,group,n,background_rmse,background_mae,background_bias,background_r2,corrected_rmse,corrected_mae,corrected_bias,corrected_r2,delta_rmse_bg_minus_corrected,delta_mae_bg_minus_corrected,bias_shift_corrected_minus_bg
Temperature,mismatch_mismatch,48596,5.525697521797696,4.763012900076104,-1.546393432967368,0.2386786449018196,4.865308152276408,3.5842995861629476,2.3635010292429635,0.4097792131660203,0.6603893695212877,1.1787133139131565,3.9098944622103313
Temperature,mismatch_regular,161711,5.274259920982596,4.192354464522792,-3.669126820798404,0.3250547318555751,2.702189101054595,2.0699787492542048,-0.0611865573967636,0.8228353885906521,2.5720708199280007,2.122375715268587,3.6079402634016406
Temperature,aligned_le_100m,141551,5.041218276162925,3.9479578379665377,-3.4818354618962024,0.3668989259212982,2.614918212902684,1.9815821087910124,0.0643174957709377,0.8296593633550599,2.426300063260241,1.9663757291755253,3.54615295766714
Temperature,moderate_100_300m,48825,6.123705177031215,5.297529243376458,-3.641475184476733,0.1203496842608796,3.185898590147081,2.4510938543816088,0.1079788190593892,0.7619076666979706,2.937806586884134,2.846435388994849,3.749454003536122
Temperature,high_gt_300m,19931,5.271984203310146,4.612109902899337,0.1086555999364248,0.316652914051389,6.597907781398383,5.456393040397506,4.544974409184502,-0.0703002539274662,-1.3259235780882364,-0.8442831374981692,4.436318809248077
Dew point,mismatch_mismatch,48596,5.474896167751913,4.430503181378787,-0.0424748481225527,0.4098867500574124,4.819435715020191,3.469993865824369,2.3367793049799657,0.5427265616421824,0.655460452731722,0.9605093155544182,2.379254153102518
Dew point,mismatch_regular,161711,4.342103707225693,3.363510620671706,-2.629435328783553,0.5328682125630195,2.3696183334923315,1.698585545582746,-0.1756316456856638,0.8608779912136267,1.9724853737333616,1.6649250750889597,2.453803683097889
Dew point,aligned_le_100m,141551,4.154122690711719,3.190301602406255,-2.5720417384982146,0.5571799697591,2.2508056966049033,1.600530536783211,-0.1037170892879147,0.86999961745986,1.903316994106816,1.589771065623044,2.4683246492102997
Dew point,moderate_100_300m,48825,5.548763037144481,4.386406528618352,-1.6430674171329964,0.3894690654740445,3.6999290292930143,2.5112543969305876,0.6014513453721921,0.728542338038433,1.8488340078514671,1.875152131687764,2.244518762505189
Dew point,high_gt_300m,19931,5.298512734835771,4.68941436454402,0.8542031305703964,0.3550114138161261,5.7162493219918895,4.723249968541281,3.535796187714032,0.249300044470235,-0.4177365871561189,-0.0338356039972609,2.6815930571436355
U10,mismatch_mismatch,48596,2.065602791290697,1.263799989911466,-0.315957672823741,0.0001779442580939,2.0699033064669785,1.278925403135071,-0.2831820640854355,-0.0039895809887096,-0.0043005151762813,-0.0151254132236049,0.0327756087383055
U10,mismatch_regular,161667,1.771266875835556,1.2136320841928518,-0.133850309836694,0.1225330306568214,1.783218571391708,1.2042728421231297,-0.0811594922220928,0.1106515917976826,-0.011951695556152,0.0093592420697221,0.0526908176146011
U10,aligned_le_100m,141507,1.7413363982204253,1.1844173475494173,-0.0782587990422927,0.1321849387455862,1.764972648393223,1.182565072682939,-0.0280183215884516,0.1084662542827744,-0.023636250172798,0.0018522748664779,0.050240477453841
U10,moderate_100_300m,48825,2.242729432233141,1.4122889582870255,-0.4813179653262416,-0.0088374665434851,2.223887953602554,1.398323603819112,-0.4249674219659891,0.008042095411109,0.0188414786305868,0.0139653544679134,0.0563505433602525
U10,high_gt_300m,19931,1.414718296577974,1.0567221151424382,-0.1213656904209455,0.0135699399402041,1.416732934018676,1.0650469500606607,-0.1088005722170717,0.0107584771232228,-0.0020146374407019,-0.0083248349182225,0.0125651182038738
V10,mismatch_mismatch,48596,2.5492500715583852,1.607662146407881,-0.3289244309254545,0.2226631536451686,2.358109473919381,1.5419007428352944,-0.208695006144317,0.3348611733662301,0.1911405976390043,0.0657614035725866,0.1202294247811374
V10,mismatch_regular,161667,1.7082414454481425,1.1909144820468895,0.041829955361879,0.2621543074464418,1.697110793358352,1.18179494998042,0.0876310380338513,0.2717383710246751,0.0111306520897904,0.0091195320664696,0.0458010826719722
