original_project_relative_path,original_sha256,candidate_repository_path,candidate_sha256,refactored,scientific_purpose,public_safety_level
scripts/wce_scientific_correction_v1/core.py,ecf6e4784edd6d7e6b4e724e0c570167cc3581717ec43ad213728cbe90cf6061,src/wce/contracts/scientific.py,ba33a148ba7aaf03296c0d98d071a254cb81ea585affc7434d58b2fa135d8594,YES,pure scientific contracts,PUBLIC_CODE_REFAC_AUTHORITY
scripts/wce_scientific_correction_v1/precheck.py,5cbfccbf82250737ec90d210f32c2179d0eae1ea8759cec9dd0b5e721c61fa6a,src/wce/pipeline/precheck.py,49fff17e8f19e69a27498a22bb1bf658a84bb1334d3eacca3a4c7bf08cae4882,YES,prepared-input safety gates,PUBLIC_CODE_REFAC_AUTHORITY
scripts/wce_scientific_correction_v1/train_models.py,42a10847e6559a3ea76834ca6b2c510c1be817d8faaca6a049906fcaf3f47993,src/wce/pipeline/training.py,6be35ba12edaadea5a14e9934a730faff8d8433b0e51aa909ee163f794a48c58,YES,nested station-grouped model fitting,PUBLIC_CODE_REFAC_AUTHORITY
scripts/wce_scientific_correction_v1/stencil.py,f4171c7f5b3deed8fe6b11788220e09ab6b12438dde5751ecc1a5f4471493844,src/wce/stencil/backend.py,2b145b7add52c53ccc4eb26085c71f15add5832c89df3810f07c59442ee93819,YES,four-cell stencil operators,PUBLIC_CODE_REFAC_AUTHORITY
scripts/wce_scientific_correction_v1/predict_oof.py,77011f3a4b82b62def68829b1563db80807f14c63b610f6da010a39369b4cc22,src/wce/pipeline/prediction.py,0a0f0de0d17d518bbb0b29ff984edc4ccfe507eef3449925805ea9a0b1095bc2,YES,fold-routed cell prediction and interpolation,PUBLIC_CODE_REFAC_AUTHORITY
scripts/wce_scientific_correction_v1/analyze.py,e9138e8a2b04d695c5d4f797a62ac5ae4697e0a5346c047aa2e8e5dfd2f608a2,src/wce/pipeline/analysis.py,7ef7a336bef7efabd4e55b75faab16c5f9ce0c45b5c88d8faabbf6818f280142,YES,component WCT bootstrap and direct aggregate analysis,PUBLIC_CODE_REFAC_AUTHORITY
scripts/wce_scientific_correction_v1/train_production.py,b96dd0fbd71d9ea2c8d7f7fc7efab7ad8799eb171184ddfd3dc0a6a10596f4f0,src/wce/pipeline/production.py,8b98ce3d69f4712a00db5841e9949a6c56add91462117d2bd8f0e02f1922264a,YES,fixed-round production contract without external execution,PUBLIC_CODE_REFAC_AUTHORITY
scripts/wce_scientific_correction_v1/build_reports.py,04c2ea36b5ef5b59d61e5bcef2b529918617ce61fe31292db9bd0e980148207b,src/wce/pipeline/reporting.py,2c73c52dc0324ee897eeeafc1e5dcfa072aa73c665637259468424199c3526d3,YES,non-clobber aggregate reporting,PUBLIC_CODE_REFAC_AUTHORITY
scripts/wce_oof_component_v1/lib.py,f17098164d7b57ee7da2e271f1f02d49c9b4de7c0f9cb8a0ee992d76b09eddac,src/wce/contracts/io.py,84bbfd09bbc2c17af41f8ae9071ee183f0d77b2b39d3b23c78d09c222129710d,YES,portable provenance and non-clobber I/O,PUBLIC_CODE_REFAC_AUTHORITY
scripts/wce_oof_component_v1_1/contracts.py,58220796407a576edcecf1c0aebc6de5bc1a7f8142a52a3ae92f47ed034f8a7d,src/wce/contracts/scientific.py,ba33a148ba7aaf03296c0d98d071a254cb81ea585affc7434d58b2fa135d8594,YES,nested and physical numerical contracts,PUBLIC_CODE_REFAC_AUTHORITY
scripts/wce_oof_component_v1_1/stencil_backend.py,46c7a54edf938dbe7858c0e7ea5933314f84ee437d9c04ba6a347b27b653a7d9,src/wce/stencil/backend.py,2b145b7add52c53ccc4eb26085c71f15add5832c89df3810f07c59442ee93819,YES,stencil feature-state lineage,PUBLIC_CODE_REFAC_AUTHORITY
scripts/wce_figures_scientific_correction_v2_1/plot_figure_1_component_rmse_v2_1.py,92bf01f507b605b2f9ce396e5504e864c196d5b230b70aa2bb863a3dea1c421b,src/wce/plotting/public_figures.py,14bce43cf1f959b6e91698587af077eae0b72f18567205987d59472ca27961a7,YES,manuscript Figure 2,PUBLIC_AGGREGATE_PLOTTING_CODE
scripts/wce_figures_scientific_correction_v2_1/plot_figure_2_monthly_representativeness_v2_1.py,69833904b91879ee76480d6cc5ec858c0ece89d35607106f551a176795cb3b89,src/wce/plotting/public_figures.py,14bce43cf1f959b6e91698587af077eae0b72f18567205987d59472ca27961a7,YES,manuscript Figure 3,PUBLIC_AGGREGATE_PLOTTING_CODE
scripts/wce_figures_scientific_correction_v2_1/plot_figure_3_wct_v2_1.py,fdb63f26b20ace47a96fd5442b9cd95381173b2a215c122023be99a6c27804b2,src/wce/plotting/public_figures.py,14bce43cf1f959b6e91698587af077eae0b72f18567205987d59472ca27961a7,YES,manuscript Figure 4,PUBLIC_AGGREGATE_PLOTTING_CODE
scripts/wce_figures_scientific_correction_v2/plot_main_figure_4_direct_external_v2.py,e51cf1550fb65537e3207ee71511cc4a404b17618a229587b60f11e0e58aff09,src/wce/plotting/public_figures.py,14bce43cf1f959b6e91698587af077eae0b72f18567205987d59472ca27961a7,YES,manuscript Figure 5,PUBLIC_AGGREGATE_PLOTTING_CODE
